,change,date,game
0,shipping more changes to pistols with the goal of emphasizing skillful use of the weapons five seven the five seven has been adjusted to reward tactical positioning and defensive play slightly improved accuracy when firing several shots rapidly substantially reduced accuracy while moving prime status is now immediately granted to perfect world accounts with identity verification enabled support for custom avatars in game enabled access to the developers console overhauled internal weapon data representation thanks slothsquadron and koga0995 for spotting unintended changes fixed an issue that caused players to not drop their 2nd flashbang if they are killed after throwing 1 flashbang during the round fixed an issue where sniper bots didnt like the scar20 thanks bot vitaliy fixed an issue where buying non weapon items would restock ammo for all your weapons fixed some corner cases where buying items via console could ignore the users loadout selection fixed an issue where attempting to drop undroppable items like grenades would count the items value towards the players donations for the round fixed a rare issue that could cause players to show incorrect holstered weapons fixed an issue where decoy grenades could make sounds from the wrong weapon fixed buy console command to list all options instead of being a hardcoded help string map editing env gunfire entities can now fire all weapon types eg weapon m4a1 silencer or weapon revolver fixed a memory leak related to spectating adding ability to initiate trades from friends context menu improved map load times in some circumstances,2017-08-17,csgo
1,shipping initial changes to pistols with the goal of emphasizing skillful use of the weapons beginning with the tec 9 tec 9 the tec 9 has been adjusted to emphasize aiming while retaining the weapons high mobility the current changes include slightly improved accuracy when taking a single shot significantly reduced accuracy when firing rapidly magazine and reserve ammo reduced to 18 and 90 respectively extended the existing camera height restriction system to include cases where a player is in the air preventing the first person camera from rising above their third person head players will now make a landing sound if they un crouch while crouch jumping fixed several inconsistencies where sounds were not broadcast when a player was occluded by a wall thanks simpleavaster cleaned up the way csgo launches so there is one fewer process,2017-08-07,csgo
2,engraved the krakow 2017 champions on the in game trophies and adjusted the inspect animation to make engraved champions readable adjusted the trophy icon silhouette to disambiguate major championship in game trophies from other coins added commemorative graffiti fixed some minor graphical bugs on inferno added support for wingman game mode on overpass upgraded several surface sounds to 16 bit for hrtf support several performance optimizations in sound playback,2017-08-01,csgo
3,updated signatures of players where the mistake in content was ours taco kioshima hobbit and adren fixed bug that caused sticker edge duplication on the p90 and nova,2017-07-10,csgo
4,fixed bug with new sound system where a buzzing could be heard in the background fixed crash on linux and mac fixed regressions with lobby sounds via os audio device team stickers team graffiti and stickers autographed by csgo pro players are now available for purchase in game from the steam community market or from the 50 piece mega bundle on steam 50 of the proceeds go to the players and organizations at krakow 2017 adding pickem for krakow major added a convar tv allow camera man override that must be set on the game server to allow camera man overrides it is disabled by default and reduces network traffic with single interactive caster added optional asynchronous audio mixing which allows for a smoother and lower latency audio experience this is can be turned on using snd mix async 1 if this is turned on snd mixahead may also be set to a lower value such as 002 we will monitor community feedback on this feature before turning it on by default for all players made it possible to choose audio device to use in the settings menu sounds made by physics props and doors will now spatialize correctly when playing with hrtf enabled added client cvar cl deathnotices show numbers which allows appending observer numbers to kill feed 0 defaults for no numbers 1 to use just observer numbers in death notices 2 append observer numbers in front of names in death notices updated the following community weapon finishes with normal maps glock 18  royal legion m4a4  royal paladin aug  aristocrat cz75 auto  imprint dual berettas  royal consorts usp s  lead conduit cz75 auto  xiangliu pp bizon  harvester m4a4  buzz kill awp  phobos ak 47  fuel injector tec 9  fuel injector thanks to teo the honey badger dasdas apêl g 99factory and emu,2017-07-07,csgo
5,adjustments to weapons expert best out of 20 rounds auto snipers are prohibited loser cash award has increased fixed excessive memory usage on dedicated servers that were not running tv1 fixed a bug in recording free camera movements from alternative interactive caster with cameraman override gotv broadcasts can now support content encoding gzip header which reduces required bandwidth for viewers by around 50,2017-06-27,csgo
6,updated cache to the latest steam workshop version httpsteamcommunitycomsharedfilesfiledetailschangelog163589843 added steam workshop entries for community servers to run official versions of canals and rialto that come included with csgo canals httpsteamcommunitycomsharedfilesfiledetailsid951287718 rialto httpsteamcommunitycomsharedfilesfiledetailsid951294508 promoted 13589 beta1 gotv changes to public release updated the following community weapon finishes with normal maps m4a4  the battlestar ssg 08  big iron glock 18  wraiths desert eagle  directive thanks to millenia primrose and gaunt,2017-06-20,csgo
7,this build contains significant changes in the game server and gotv network delta packets processing to allow running two gotv server instances with different delays to allow correcting cameraman shots using a spectator connected to a small delay tv and airing corrected shots on the longer delay tv this client build is compatible with regular public 13589 game servers new settings for the game server tv delay1 allows to set a custom delay on tv1 server with the developed scenario having tv1 delay be at least 3 seconds and not more than tv0 delay configured with tv delay setting tv allow camera man steamid2 allows configuring an additional interactive caster account with the developed scenario connecting the main caster as a live spectator on the game server directly and the additional interactive caster connect to tv1 server with a small delay tv challenge steam iprange allows configuring a set of comma separated ip ranges clients connecting from those ip addresses will go through full steam authentication even for gotv connections which is necessary for additional interactive caster authentication new settings for the game client cameraman override setting controls when additional interactive caster camera is used to override the primary caster setting cameraman override 1 on the additional interactive caster connected to tv1 will start overriding the primary interactive caster from the moment this setting is enabled in small delay tv timeline and setting cameraman override 0 will stop the override at the moment this command is issued in small delay tv timeline with cameraman override set to 1 the camera position of the additional interactive caster is transmitted to the tv1 server and overrides camera positions of the primary interactive caster consumers of tv0 gotv data delayed enough for the overrides to take place will be receiving corrected camera positions cl cameraman override messages setting controls whether ui message is displayed in spectate panel to indicate that the camera override is taking place ui message can be disabled by setting cl cameraman override messages 0 developed example scenario server is configured with tv delay1 3 seconds and tv delay 10 seconds both tv0 and tv1 servers are active and additional interactive caster account connected to tv1 server players x and y on one team playing against players u and v on another team players x and u go towards bombsite a players y and v go towards bombsite b theres no camera that main caster account can select to keep all players in view so they select to broadcast pov of player x approaching bombsite a when the round clock in the live game shows 056 player v unexpectedly eliminates player y and that action wasnt observed by the main caster at this point our additional interactive caster connected to a 3 second delay server still has their round clock showing 059 and all players alive additional interactive caster switches their camera pov to player v to broadcast the shot and executes their bind to set cameraman override 1 alternatively additional interactive caster can switch to in eye pov of player y who is still alive at 059 but will be eliminated shortly and execute their bind to set cameraman override 1 when tv1 round clock reaches 050 additional interactive caster may decide to relinquish broadcast control to the main live cameraman and should then execute their bind to set cameraman override 0 broadcast for viewers connected to the 10 seconds delayed tv0 broadcast for viewers watching gotv http stream from tv0 and the gotv demo file recorded on tv0 will contain pov of player x until 059 then selected camera shot of player v eliminating player y until 053 and then continued pov of player x neither gotv broadcast nor gotv demo file will have additional interactive casters steamid recorded and the data should be seamless on the client just as if the main caster could have switched to different broadcast povs at 059 and 053 round clock times alternatively entire broadcast can be performed with the additional interactive caster on tv1 having cameraman override 1 controlling camera pov all the time and never relinquishing control to the live interactive caster while still being able to get information from live game either on the screen of live interactive caster or from game state integration data pushed from live interactive caster session keep in mind however that commentary sound is always recorded live from the main interactive caster voice channel and is not modified by additional interactive caster,2017-06-19,csgo
8,for the upcoming operation hydra event wingman matchmaking now allows solo queue when matchmaking solo in wingman game mode matchmaking algorithm will prefer to make a match where both teams have players entering the game via solo matchmaking when matchmaking as a party in wingman game mode matchmaking algorithm will prefer to make a match where both teams entered the game as a party upcoming wingman events will feature inferno and cobblestone as possible maps cl draw only deathnotices no longer requires sv cheats 1 fixed a potential exploit in csgo engine reported by one up security,2017-06-16,csgo
9,windows dedicated server executable can now handle large 2gb addresses replaced cl teamid overhead with sv teamid overhead which is now a server convar added concommand itemtimedata print and reset which prints all current item time data and resets it changed item time data server log format to more closely match other server log entries added ability to select wargames to match into accessible from the custom menu in the mission panel added ability to vote into maps while playing wargames added next map or random other wargame vote to end of match in wargames updated wargames maps,2017-06-13,csgo
